,horizon,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
6,0,BTMG,m2,p2,DMF,t20,0.06488691052,1.0
145,1,BTMG,m6,p6,DMF,t40,0.1943675222999999,1.0
116,2,BTMG,m5,p6,DMF,t60,0.1435474552,1.0
99,3,BTMG,m5,p2,tAmOH,t20,0.0,1.0
16,4,BTMG,m2,p3,tAmOH,t40,0.04565834915,1.0
59,5,BTMG,m3,p6,tAmOH,t60,0.4584386895,1.0
186,6,Cs2CO3,m3,p2,DMF,t20,0.02203681229,1.0
157,7,Cs2CO3,m2,p2,DMF,t40,0.110026032,1.0
284,8,Cs2CO3,m6,p3,DMF,t60,0.00502415368,1.0
207,9,Cs2CO3,m3,p6,tAmOH,t20,0.04404858183,1.0
262,10,Cs2CO3,m5,p4,tAmOH,t40,0.0,1.0
221,11,Cs2CO3,m4,p2,tAmOH,t60,0.04668578593,1.0
330,12,K3PO4,m3,p1,DMF,t20,0.01035680304,1.0
349,13,K3PO4,m3,p4,DMF,t40,0.0560763603899999,1.0
344,14,K3PO4,m3,p3,DMF,t60,0.0,1.0
345,15,K3PO4,m3,p3,tAmOH,t20,0.0,1.0
448,16,K3PO4,m6,p6,tAmOH,t40,0.07332727552,1.0
305,17,K3PO4,m2,p1,tAmOH,t60,0.0,1.0
498,18,DBU,m3,p4,DMF,t20,0.0034730799,1.0
487,19,DBU,m3,p2,DMF,t40,0.02827638549,1.0
572,20,DBU,m6,p1,DMF,t60,0.0351837548,1.0
483,21,DBU,m3,p1,tAmOH,t20,0.0,1.0
466,22,DBU,m2,p3,tAmOH,t40,0.00613634969,1.0
575,23,DBU,m6,p1,tAmOH,t60,0.1242854915999999,1.0
630,24,K2CO3,m3,p1,DMF,t20,0.0,1.0
673,25,K2CO3,m4,p3,DMF,t40,0.03045244717,1.0
620,26,K2CO3,m2,p4,DMF,t60,0.04520408931,1.0
621,27,K2CO3,m2,p4,tAmOH,t20,0.02225592069,1.0
682,28,K2CO3,m4,p4,tAmOH,t40,0.08255586722,1.0
725,29,K2CO3,m6,p1,tAmOH,t60,0.0,1.0
840,30,DIPEA,m5,p1,DMF,t20,0.0,1.0
853,31,DIPEA,m5,p3,DMF,t40,0.0,1.0
812,32,DIPEA,m4,p1,DMF,t60,0.0,1.0
759,33,DIPEA,m2,p2,tAmOH,t20,0.00601161121,1.0
868,34,DIPEA,m5,p6,tAmOH,t40,0.0,1.0
887,35,DIPEA,m6,p3,tAmOH,t60,0.0,1.0
29,36,BTMG,m2,p6,tAmOH,t60,0.6057217869,0.224301104
67,37,BTMG,m4,p2,DMF,t40,0.01366896024,0.075508922
56,38,BTMG,m3,p6,DMF,t60,0.3730828678999999,0.369240211
569,39,DBU,m5,p6,tAmOH,t60,0.02686000679,0.083135403
277,40,Cs2CO3,m6,p2,DMF,t40,0.0915989859499999,0.053144102
748,41,K2CO3,m6,p6,tAmOH,t40,0.0098419469,0.081170802
412,42,K3PO4,m5,p4,tAmOH,t40,0.0,0.019488365
114,43,BTMG,m5,p6,DMF,t20,0.0,0.136733756
415,44,K3PO4,m5,p6,DMF,t40,0.0851482739599999,0.062798968
23,45,BTMG,m2,p4,tAmOH,t60,0.2471295664999999,0.084519205
293,46,Cs2CO3,m6,p4,tAmOH,t60,0.00324204235,0.05532184
52,47,BTMG,m3,p4,tAmOH,t40,0.1263726362,0.211952683
698,48,K2CO3,m5,p2,DMF,t60,0.0200196270299999,0.03243837
261,49,Cs2CO3,m5,p4,tAmOH,t20,0.0,0.009830195
560,50,DBU,m5,p4,DMF,t60,0.0404147982699999,0.020542455
685,51,K2CO3,m4,p6,DMF,t40,0.09551621141,0.096261114
523,52,DBU,m4,p3,DMF,t40,0.0,0.030476834
729,53,K2CO3,m6,p2,tAmOH,t20,0.0517804819,0.030985792
