,horizon,Unnamed: 0,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
0,0,6,BTMG,m2,p2,DMF,t20,0.06488691052,1
1,1,145,BTMG,m6,p6,DMF,t40,0.1943675222999999,1
2,2,116,BTMG,m5,p6,DMF,t60,0.1435474552,1
3,3,99,BTMG,m5,p2,tAmOH,t20,0.0,1
4,4,16,BTMG,m2,p3,tAmOH,t40,0.04565834915,1
5,5,59,BTMG,m3,p6,tAmOH,t60,0.4584386895,1
6,6,186,Cs2CO3,m3,p2,DMF,t20,0.02203681229,1
7,7,157,Cs2CO3,m2,p2,DMF,t40,0.110026032,1
8,8,284,Cs2CO3,m6,p3,DMF,t60,0.00502415368,1
9,9,207,Cs2CO3,m3,p6,tAmOH,t20,0.04404858183,1
10,10,262,Cs2CO3,m5,p4,tAmOH,t40,0.0,1
11,11,221,Cs2CO3,m4,p2,tAmOH,t60,0.04668578593,1
12,12,330,K3PO4,m3,p1,DMF,t20,0.01035680304,1
13,13,349,K3PO4,m3,p4,DMF,t40,0.0560763603899999,1
14,14,344,K3PO4,m3,p3,DMF,t60,0.0,1
15,15,345,K3PO4,m3,p3,tAmOH,t20,0.0,1
16,16,448,K3PO4,m6,p6,tAmOH,t40,0.07332727552,1
17,17,305,K3PO4,m2,p1,tAmOH,t60,0.0,1
18,18,498,DBU,m3,p4,DMF,t20,0.0034730799,1
19,19,487,DBU,m3,p2,DMF,t40,0.02827638549,1
20,20,572,DBU,m6,p1,DMF,t60,0.0351837548,1
21,21,483,DBU,m3,p1,tAmOH,t20,0.0,1
22,22,466,DBU,m2,p3,tAmOH,t40,0.00613634969,1
23,23,575,DBU,m6,p1,tAmOH,t60,0.1242854915999999,1
24,24,630,K2CO3,m3,p1,DMF,t20,0.0,1
25,25,673,K2CO3,m4,p3,DMF,t40,0.03045244717,1
26,26,620,K2CO3,m2,p4,DMF,t60,0.04520408931,1
27,27,621,K2CO3,m2,p4,tAmOH,t20,0.02225592069,1
28,28,682,K2CO3,m4,p4,tAmOH,t40,0.08255586722,1
29,29,725,K2CO3,m6,p1,tAmOH,t60,0.0,1
30,30,840,DIPEA,m5,p1,DMF,t20,0.0,1
31,31,853,DIPEA,m5,p3,DMF,t40,0.0,1
32,32,812,DIPEA,m4,p1,DMF,t60,0.0,1
33,33,759,DIPEA,m2,p2,tAmOH,t20,0.00601161121,1
34,34,868,DIPEA,m5,p6,tAmOH,t40,0.0,1
35,35,887,DIPEA,m6,p3,tAmOH,t60,0.0,1
